,review,sentiment
26,the odeon is a small but nice hotel my room was small but clean the hotel has a good buffet breakfast included and a reasonably priced bar on the ground floor i stayed for nights my room was very quiet except for a am fire alarm which was evidently a false alarm and only stayed on for a minute or so despite the fact that the neighborhood is festooned with graffiti i never felt uncomfortable on the streets the hotel is close to omonia square a short walk from excellent dining and the ancient agora of athens and a medium walk to the archeological museum staff is friendly and rates are reasonable,1
28,stayed overnight in this wee hotel in athens is in the omonia area of athens convenient for the subway and a short walk to the famous omonia square one part was a bit shady but the rest of the area was fine like any huge just be sensible do be out and about late at night perfectly fine during the day hotel itself was brilliant value we had a room and breakfast for breakfast was a bit spartan continental but was rooms are painted in weird colours but are lovely and clean and the bathroom is tiny but really well thought out with everything you need we loved the quirkiness of this little place you could stay more than a couple of days there i think or the lack of space might get to you but brilliant for an liked this wee place and the reception staff were just expect beautiful views from your it in the middle of athens and not very but within walking distance to the acropolis etc,1
29,the highlight of this place was to stay on the top floor and when we looked out of the window we saw the acropolis fantastic experience i loved the location as it was very near the centre the price was reasonable i would pay more attention to the quality of breakfast if i were them,1
30,thank you very much for accommodating us and for providing my baby a place to sleep very nice staff unique hotel with beautiful decor good food and very clean love from america and fellow greeks from ellada panawiota stavros baby stavroschristina and dimitrios,1
31,staff speak good english and spanish they are nice a lift in case you are on the floor in the room set up for always but good cleaning every day such a helpful and caring cleaning lady good value for money perfect for backpackers and travelers on budget we felt comfortable and safe good breakfast without fruits quiet hotel omonia is said to be dangerous but not it looks less cared for but there are some amazing cafés and pastry shops,1
33,the guy that runs reception at night is incredibly rude for no reason the rooms are pokey and the bathrooms tiny the wifi does not work at all they told me you ca connect if too many people try to access it at one time but there a separate router on each floor servicing about rooms each so that nonsense,0
34,great place helpful and friendly staff especially at the reception the lady at the rooftop bar was amazing and helpful and you could clearly see she enjoyed her job the rooms were clean and comfortable pool was small recommend this especially for the young travellers as the rooftop was buzzing till early variety for breakfast would definitely recommend to travellers and especially young travellers who would like to meet other young travellers from around the world thank you for our comfortable stay,1
35,stayed here many times and was more than happy until latest stay made a friendly advice to staff that the toaster did work and was asked standards are slipping i will stay elsewhere there a many hotels in this price range with good srvice,1
38,the staff were extremely warm and room was pleasant and clean and was also cleaned free continental breakfast was simple but hotel is located just off of omonia square which seems to attract a rough and seedy wouldnt recommend going out late at night there are plenty of eateries located near by which served nice food thats also cheap the metro is located two minutes away with easy access to the acropolis and other sites,1
39,booked this place on hostelworld so i was expecting it too be more like a hostel than a hotel there was so social area to get to meet people and half the time my room was empty the shower was really temperamental temperature wise and the water ended up flooding the bathroom floor the light is so dim you practically have to shower in the dark two bunks crammed into the tiniest room and the wifi did work at the very top floor which was where i was also did feel safe walking through the square and outside the hotel there were so many men just lurking around cat calling me i felt very uncomfortable,0
40,well the rooms are superb and the air con is awesome for athens hot and dry summer also the staff in reception is very helpful but all these became a distant memory very soon after i entered my room i only stopped for hours to get some rest from a long ferry journey as i was catching a flight to holland and within minutes of settling into my room the lady cleaner did her best and all sorts to keep me and am sure other hotel guests awake do know where to start from but here as some of the noise some events that i heard from outside my room vacuuming next to my room and above me buckets loads of water being dropped for mopping cleaning cupboards being opened up and closed at least times the lift which is not the quietest to put it mildly must have been used for the cleaner at least times going up and down plastic bags being shuffled doors opening and closing for several times toilet seats being rigorously hit against the toilet base objects being dropped without care who sleeps in the hotel iam sure i was not the only one that was kept awake its only a small hotel for gods sake with probably around so why the f all this noise in the middle of the night will the queen of sheba arrive by any chance want a full refund and an apology for the inconvenience caused,0
41,felt very comfortable and the staff are perfect thank you all for a great stay walking distance to most destinations friendly encounters at almost every location neighborhood looks scary but is quite nice around lycabettus efcaristo,1
42,we stayed for nights and had a wonderful stay serge at reception was very friendly and gave us useful information the room had a jacuzzi however the bubbles did work but it was still romantic we had the choice to get breakfast at the room or downstairs sharing a table with other guests we did both options we also had free wifi and to min walk to the station but the area felt quite safe at all times not suitable for kids i would say mainly as this is more suitable for couples on a romantic break we did hear any dodgy sounds from other rooms,1
43,after traveling around for days this was very comfortable stay i slept very well and the rooms were very nice and clean they have a great breakfast buffet even though it was very crowed it few blocks walk to and from the metro but content location i was very happy with my stay,1
44,breakfast ok however too many guests which meant that we had to eat it in a conference room on plastic foldable chairs since no tables were available pool and rooftop is nice allthough small and over crowded restaurant overpriced the staff in the restaurant and by the pool were the most rude i have ever encountered apart from a man called dimitrios that was very service minded not interested to take orders when instead walking to the bar to order i was told to sit down and wait for a colleague that never came the last day we were asked to pay to use the pool since we were not allowed to be in the hotel after our check out even though we arrived late and planned to leave late the hotel in general needs an update and the room was old and smelled like mold,0
45,the hotel was very nice and the staff were helpful and courteous the rooftop was amazing and spectacular views the hotel was a little far from the sightseeing places but we took taxi and were very cheap the only thing i did not like is that they do have wifi in the rooms only in designated areas of the hotel which was annoying,1
47,we picked this hotel over another athens hotel because it had dedicated parking and a pool we arrive and my husband goes to park only to be informed a car is too big and we are not allowed to park there i was not happy however the front doorman came to the rescue and found us parking garage he was so nice and had great customer service skills and was the only good thing about our got up to our rooms needed to book because of our big family to find twins bed pushed together in each room not the best but it worked the furniture is dated the tvs are ancient smells like smoke and there is no shower door or curtain it is just a half glass wall so water goes everywhere to top it off they charge euro a day for internet access in the room and that is only for devices probably the worst thing about this hotel is the pool area they have a beautiful rooftop pool with a bar however it is a very small pool area it is lined with chairs and people sunbathing on the ground so you can hardly walk around the pool we arrived at the first day at knowing it closes at with kids in tow the lifeguard proceeded to get an attitude and tell me that there are no more towels and we only have mins to swim so we should come back tomorrow well my kids were,0
48,i stayed in that appartment because my company sent me is good because you can take metro and reach city centre and acopoli in less then minutes with for ticket employees very kindly and can give give good informations internet connection good and air conditioning bad thing is the barely accettable condition of fornitures carpets wallpaper ceiling kitchen curtains the staff do its best to keep at least clean the room but i can not understand fornitures years old price for the room space is good but i prefer having one fourth of the space in a room of this century,0
49,good basic hotel smallish room but enough room for my luggage and with an ensuite worked well which was needed as the days peaked at is very good with a short walk to the main attractions including metro station when arriving from the airport,1
50,everipidou street is located very close to monastiraki square the room has all the essencials including air conditioner witch is the more important quality in an athens hostel room in the what we paid the room was very good and i would rent it again and recomend it to someone else who planning an affordable central stay in is very nice and they even carried our bags to our room at when we arrived that was very nice of him and very apreciated,1
52,very pleasant hotel staff are brilliant and extremely helpful old hotel but very clean and well maintained tram stop opposite to town and tickets are available from reception recommend highly for mid budget travel some noise from main road but insulation is good,1
53,this hotel is very convenient to explore the center of athens very up to date in its technology tablet in the room from which you control everything while you are lying on bed lights blinds temperature etc and a large screen smart tv the furniture is brand new and stylish staff is friendly and very helpful for sure i visit again,1
54,highly room was great wooden floors so no hotel carpet internet easy password no space for two so both can get online without a and normal shower excellent for weary size bed with headboards against one wall too a really nice more than a bedroom touch makes the bed into a leisure area we did watch the tv but there a huge to ceiling window the place has a bit of a japanese feel but in no way the windows do can control mood lights and temp from a tablet if you want yes it all works or there are switches on the definitely be back it a dream to have found this place on a budget,1
55,i stayed in hotel moka from june the to june the its a decent hotel it has a lift the reception is open hours also theres a small fridge that sells of beer the staff were ok the room itself was big with an screen tv i only paid euros for nights so it was ok pricewise would i go back yea i would go back the area was a little shabby with up shops fly posters but the hotel was alright the main square syntagma was only around mins walking time from the hotel,1
56,good location and room for the money if you expecting something super ritzy maybe reconsider it was clean the air conditioner worked well i did have any issues with noise level and i found the staff to be very helpful well located in proximity to omonoia station,1
57,good location to get to metro and sights room was renovated but still basic hotel has few facilities but wo matter if you not spending alot of time at hotel get a room with balcony for extending the size of the room not so much for view employees very friendly and helpful bars and restaurants in area around hotel not so touristy which was fine i would stay here again but would like corner room with balcony on floor,1
58,the staff is professional and is always a pleasure to stay pool area is truly an oasis after a long day in athens when stopping in athens we go have been staying from the year like the area because we can walk to glyfada where you can find restaurants and shopping,1
59,next to the most famous street of glyfada with a nice swimming pool there is the hotel oasis you can choose it for couples families or for a business trip there is also a conference center you will be very satisfied from the service and the nice staff excellent choice nice n clean with a large swimming pool also you can walk and go to the beach but the water there is very clean so stay to the pool or take a bus for varkiza beach resort,1
60,my husband and i just returned july from a one month vacation our base was oasis hotel the hotel is spotless the rooms very comfortable and clean the staff from management to waiters and any other position go out of their way to make you feel relaxed and comfortable most any request will be met the food is delicious breakfast usually included beach across the street glyfada square about minute walk where you will find many restaurants and anything else you might require the tram is across the street and busses at corner we have stayed at this hotel on previous years and when we go back it will be our base again all employees treat each other like family and the hotel guests are also treated in the same manner we would like to thank them all for the hospitality i not going to mention names as they are all fantastic ευχαριστούμε,1
61,the night before we were supposed to go to a wedding a large party was happening on the ground floor we were on floor at midnight the music started it was so loud our room was vibrating we called down to reception times but nothing was done at we went down to reception and finally managed to get moved to a higher floor it did help much when checking out we requested a discount the reception staff were rude and point blank refused saying it was there fault they then threatened to call the police if we did pay i do understand why this hotel thought it would be a good idea to put families and people who had a wedding the next day right above a party that does end until from the other side of the hotel the party could be heard the refurbished rooms are grubby at best and most of the hotel has tired carpets plaster hanging off the walls and looks a bit old and well used only saving grace the pool was nice but the chairs are grubby,0
62,said it was four star hotel got given key went to room was cleaned from previous people beds not made breakfast stuff still there went to reception got given another room sat on bed went through the bottom of it as slat was broken went down again to reception got moved again to the most disgusting place i have ever had to sleep they said they had know other room available we asked for a double and got twin room even the first room was a twin when we got the the room there was a kettle bathroom was dirty the carpets we dirty and air conditioning did work the male receptionist could not give a hoot and was put out by the fact we had been down down to the pool got lunch at the restaurant by the pool side which was expensive and the very last straw was in the middle of the meal the waiter stopped us eating as he wanted us to unprofessional hotel who does put the of their customers,0
63,a very well kept property conveniently located in northern athens super easy access and amazing service the staff very friendly and courteous as well i would definitely recommend to all my friends,1
65,although the price of the hotel may seem cheap compared to others in the area and the pictures and description say it has been renovated do be fooled arrived at the hotel earlier than the standard check in time and were told that the room was not ready which was fine as we were early so went out and returned to the hotel about an hour and half later waited for another ten minutes and then received the keys to our room well the supposedly recently renovated rooms did seem to apply to ours the stench of smoke was disgusting the carpets were stained the shower which was supposed to be held over the bath was falling out the wall so you had to hold it and whenever you tried to have a shower the bath leaked all over the floor the air con may as well have been non existent and not to mention the bedbugs we found within hours of being in the room staff were extremely rude whenever asked for help the only thing half decent was the wifi a number of doors were left open to other rooms in the hotel all of which again did not look like they had been renovated at all how on earth other people have rated this hotel above a is beyond me i would avoid at all costs certainly do not recommend,0
66,exarchia is a area and a bit rough in central athens the hotel is situated close to exarchia square where you can some fast food joints restaurants and bars rooms a simple but clean in total it a rally good budget alternative,1
68,photos on booking sites are thought it will be a good deal given the price but then i understood why upon arrival furniture and all decor needs to be changed if it is to be called staff was very polite and helpful though position is quite good too,0
71,the room i got had a beautiful view of the acropolis but the air conditioner did not work and it was a very hot night luckily i only needed one night because i was leaving to the islands the next day the hotel is outdated and the towels looked old and overused like everything else you get what you pay for the location of this place is a plus thought it close to plaka and monastiraki the area is safe and it has a lot of restaurants at walking distance,0
73,i checked in my first day in athens before leaving on a week long drive through northern greece and booked a room for july and was assigned room a premium room it was mediocre at best but for one night did not mind it upon my return i had also booked a night august for one night also a premium room and was given room i had booked both nights before leaving on the trip room was substandard to say the least dirty and frayed curtains bad causing around sink old shower head was probably from the original construction low water pressure when i checked out and printed these out to the desk clerk he shrugged his shoulders and ignored me i surprised this hotel still has it best western affiliation if it does i bet that room was not inspected,0
74,arrived at the hotel at only to be told that our room was not booked even though we had received a confirmation email and phone call our room was clearly given to someone else do not stay here i would also like to mention that the photos are deceiving,0
75,location right in the center of athens staff is nice rooms are nice in size breakfast is small but there a little of everything a little noisy inside the hotel as i have been woke up a few times beds a little hard and would be nice to have at least two pillows instead of one wifi is very unstable rooms wold deserve a little refresh a good value for money hotel,1
76,although we had booked a room for nights through email and a phone call to confirm our booking we arrived and to our disappointment there were no rooms available because clearly they had overbooked the hotel they blamed one of their employees who apparently was fired but somehow had managed to book us a room and confirm it excuses let me mention that the room was somehow booked for the next nights after our arrival whereas by email we had agreed other dates,0
77,the best thing about hotel niki is it location to tour ancient athens it is more than adequate it did have some repairs that cropped up but handled well it very good that they have capable and patient front desk staff and a maintenance guy on call day and night to deal with things we had to move to another room but effie was extremely helpful as was the maintenance man and the cleaning staff person all that made it very tolerable to stay there the cleaning staff keeps things nice and clean the breakfast is a full buffet of choices with the traditional fresh tomatoes feta and black olives and greek pastries anastasia the lady tending the breakfast was fun to talk to tip her she works hard effie at reception desk really went above and beyond to help us with changing reservations giving us two favorite places to eat helping us get our room problems solved and arranging coffee and early breakfast item when we had to catch a very early flight i recommend this place for all of these reasons,1
78,awesome location next to omania square where you can get in all the tourist buses the staff are so lovely and provide you with great restaurant recommendations the rooms are clean and spacious one downside is the size of the shower i made the mistake of turning around to wash my hair and knocked the tap to hot there also a lift for those staying on higher floors would definitely come back,1
79,we booked this hotel based on proximity to metro station although it looks close on the map it is actually not that easy to walk to with suitcases the room was terrible dingy curtains half falling off the tracks outlook onto dusty abandoned building the bed was hard the pillows flat worst of all though was the fact that the walls are paper thin we could hear every word from next door especially when they broke into a fight care factor zero from night manager it is in a really dodgy area with lots of homeless people in the street on the positive side the bathroom was clean way over priced for the standard of the room would recommend not staying at this hotel,0
80,location is very good and easy to visit interesting spots on food entrance of hotel is very nice and staff is super friendly and helpful rooms are basic but all clean and in good state for sure a hotel where i will be back as i travel several times a year to athens for business,1
81,i originally booked here for nights because of the reasonable price i ended up staying for a week the staff were all very friendly and efficient it nice to come back to your hotel and be greeted with a friendly smile and recognition rooms are simple clean and comfortable i was too keen on the breakfast but it was still neighbourhood is a little rundown but i always felt safe close to omonia square metro buses etc so convenient for getting stay at the hotel again when i return from the islands i plan to stay again,1
82,i actually quite baffled as to why this place is only classed as a hotel i stayed in places in the uk which were noticeably inferior to this the bedrooms are clean and spacious the breakfasts cater for pretty much all culinary preferences the bar is and operates whilst the owner christos goes out of his way to be helpful and accommodating to all his guests including solo travellers like myself not only that for seven nights is far better value than you find in most european capital cities including london i suppose that if i had to include one criticism it that the location is a little far from the city centre but it also close to the port of piraeus which makes it ideal for ferry trips to the surrounding islands and buses to syntagma square are frequent and very inexpensive,1
83,highly recommend everything is great it minute walk from the centre shops and restaurants and minute from the beach there is a direct bus from the airport that has a station right infront of the hotel so you do have to walk a lot workers in the hotel are super nice and helpful,1
84,nice and quite comfort place to rest days ground floor looks a bit old staff is not very handy and helpfull just what we some old hotels swimming pool helps in refreshing we stayed there nights just to rest a bit between sailing and driving around greece good place for such in a range of short walk there is commercial district with some nice tasty restaurants pubs and shops nice suburbs with a tram line to heart of athens,1
85,this hotel should be investigated by the tourist bureau in athens if one thing made me rethink my affection for greece would be this hotel by its staff anyone that has children should think twice before booking here as you may be find surprises,0
86,undoubtedly the worst hotel experience i have had room first on the left after exiting the booked paid for and had written confirmation double room with room measured sq x no balcony of course squalid would be the best was provided the accom i had booked for the following nights no apology and no can such accomodatiion meet any building rules how can the greek tourist regulators tolerate this when i said i was not accepting it i was told it was all that was available that night and i was given,0
87,this is a hotel that meets your needs it clean safe quiet and cool it simple so do expect frills but at the price point and location it totally worth it the neighborhood is gorgeous and the location is perfect,1
88,we recently stayed at hotel phidias and specifically chose this hotel as it was very close to the port of piraeus we need to catch a ferry to milos upon arrival katherina at the from desk greeted us with extreme friendliness she struck up conversations with my and year olds immediately she is was certainly a breath of fresh air after hours of travel our room was very comfortable but a little small for a family of the bathroom was also small but extremely clean the hotel offers a free shuttle service around the piraeus area they took us to the port its a short walk to the main town from the hotel where you will find supermarkets restaurants clothing stores etc,1
89,according to travel blogs and statements metaxourgio not that safe and you have to be careful at night well if you consider couple of balkanian travel agencies few abandoned buildings and some closed down stores than yes but metaxourgio my experience of days and has proven that it is an ok area and actually quiet and cosmos is located few hundred meters from the metro station in a tree lined quiet street across the street is the beautiful but abandoned building of hotel is a star hotel and provides you exactly what star deserves hotel is from the including the furniture lighting and fixtures but clean so are the are no frills everything basic and functional it is a very cheap hotel and you are metro stop away from the centre or minutes at the reception helpful there are bars coffe shops and restaurants an excellent price what else do you need karaca b from constantinople,1
90,we stayed nights in this hotel everything was fine the quality price ratio is pretty good the room is big enough and cosy air conditioning in the room perfect the only thing is that the cleaning staff make some noise in the morning while moving the furnitures underground not far from the hotel,1
91,hotel cosmos is a hotel which is located quite central in athens the room was basic but clean takes you minutes walking to many main attractions and the metro is min walking from the hotel hotel staff was friendly and welcoming despite the central location the neighborhood of the hotel is not the best especially at night you should take care as streets hardly have lights and you meet strange people apart from this recommendable for a short stay days,1
97,the hotel is a little far from downtown athens but it accessible by public transportation it a pretty little hotel with clean bathrooms and facilities with one exception they do not maintain their wifi when i checked in they warned me that if i needed to use the wifi in the evening i could sit in the lobby the desk attendant would mind but there was only one couch by the wifi on every floor was too slow to even check in for my flight so i had to sit in the lobby this was not well advertised and if you travel alone or care about using the internet i do not recommend it,1
98,the only good thing about this hotel is its location rooms are very small and becomes congested if you have even a little luggage very few options for breakfast wifi was bad especially in the floor,0
99,bit grungey but great location great price run by great friendly people i would recommend this place for or days stay just around the corner from great bars and restaurants walking distance to main shopping and main museums and attractions,1
100,we were given a room here after we were unable to stay at another hotel we previously booked at there were only of us but we were given a family room for the price of a double room with breakfast included for less than what we would have paid at the other hotel location is good only minutes walk to the metro at monastiraki the building is rather old but in reasonable condition the highlight is the old timey elevator room was quite good only downside was that it was not very sound proof wifi was very slow sometimes unusable one of the guys at the front desk whose name i ca remember was very friendly and offered suggestions for things to do around athens and greece the other staff were friendly too but did say not perfect but pretty good for the price,1
101,cecil is a low cost hotel in a very convenient area great location and value for money room is good size bathroom is compact but functional the room is very quiet even though we were facing the street and also very clean breakfast was very good as wellwe were fortunate to have a view of the acropolis from the balcony and hotel also has a view from the roof top although no facilities on the roof top the staff as also friendly may not appear that way to start but they are friendly when engaged location the right is the plaka and to the left are the food markets amazing fresh fruit and olives and cheese also antique shops overflowing with everything from chinese bowls to crystal vases to brass statues a homeware shoppers paradise,1
102,terrible do know where to start cheaply decorated tiny room and even smaller bathroom morning man on reception is by no means but not rude like the grumpy old man in the afternoon evening we never been spoken to in such a rude abrasive manner the only decent thing was the balcony,0
103,i agree with most of the previous reviews here in that this is an extravagant stay by any sense but if you are looking for a clean and comfortable home base while you explore the city it great bang for your buck we found staff pleasant and the breakfast with a great view of the acropolis was a real treat in the morning the location also cant be beat if you want to be near the only suggestions for improvement given what it is is we agree the air conditioning was spotty and there were times we were way too hot some more protein options at breakfast would be nice also,1
104,my friends and i stayed at adonis hotel for nights the room was clean and fit of us just fine the staff are all kind and are always attentive the bar upstairs has good drinks and a nice view of the acropolis my only issue there was only one powerpoint for of us which was hard but that is definitely not a deal breaker the location is also perfect minute walk to the acropolis and minutes to heaps of restaurants and market stalls,1
105,my friends and i had the most amazing experience with the lovely owner manager of this hotel we found out on arrival that our booking had been cancelled because of an expired credit card and were worried we would be turned away not only were we offered rooms instead of at the same price she was able to provide us with all the information we needed about transport laundry services and where to eat and drink she was able to organise a taxi for us for the following morning and extended check out so we could go straight to the airport we had such a great experience and she was incredibly warm and genuine with us the rooms were clean and spacious and the aircon worked well not a single complaint for this hotel,1
106,i booked this hotel at at night and checked in minutes later due to my other hotel being really average i chose this hotel because of the location it is a few minutes walk from the main shopping street buses train a girl travelling on her own it is a great hotel because of it location i would stay here again the staff and cleaning staff are really friendly and very helpful breakfast is included which is good it nothing special but it fine i have been having fruit and yogurt because it gluten free but there a lot of other is an amazing absinthe bar across the road down a lane way full of locals which is great the bed in the hotel was not good at all i could feel every spring having a terrible bed in a hotel is the worst because after a long day of walking and sightseeing you want to have a good sleep these beds do allow that the pillow was fine very spacious room with a large window bathroom is fine everything works they give you fresh sheets every day and mop the floor so it is very clean no kettle i thought that was unusual i like to make tea in my full length mirror aircon was great wifi works best at the door and the window i stay here again but the beds really let this place down if you love a comfortable bed then you might want to look,1
