,predlabel,trueLabel,indexLocat,review,classification
10,1,0,186,when the best thing you can say about the hotel is that you liked the front desk staff know it not great truly the guys at the front desk were very helpful and professional we booked an eight day greek vacation after backpacking and self guiding ourselves through italy for weeks through an aegean travel agency we had two nights in athens before heading to sifnos and serifos islands and then one night in athens again before ending our trip we were picked up at the airport and transferred to hotel economy by a great taxi driver i guess we should have known by the hotel name what kind of place it would be first of all it basically in the red light district as i would call it there are therese two minutes in any direction the hotel is very dated the beds are hard and the pillows are harder the bathroom is barely big enough to change your mind they could use plastic shower curtains you flood the bathroom when you shower thank goodness for drains in the floor you have to sit on the toilet to shave your legs actually sort of handy the refrigerator does work when you leave the room it connected to the key so there no chance to have cold water when you return from your shopping or tour it very noisy outside as well as above you the continental breakfast starts ta that late if you from the us it a pretty,VADER
11,1,0,217,the hotel itself is quite nice and clean however when i arrived at my room was not ready and the staff took over an hour to get a room for me the staff clearly need training in customer service it is very expensive and in no way justifies the price i will not stay there again,VADER
12,1,0,223,the hotel is very old like a bit of a haunted house the staff is very friendly helpful the rooms are very nice but big problem we saw a baby rat in our room the vibe of the hotel is amazing old type hotel i wouldnt stay there again,VADER
13,1,0,241,first impression of the room was cool but the you start finding how dis functional the room really is there is no privacy from the bathroom to the rest of the room glass see through door and wall it was good for watching tv from the a very small mirror in cupboard to check your bathroom sink is in the bathroom it in main room but no mirror and no power point for hair straightener or electric shaver etc the power point is at the desk bellow the tv with a very small makeup poor lighting in the room which made doing makeup back and neck from bed and things were the staff were very friend helpful nespresso coffee in the room was a very nice to tram was great but next trip i will stay closer to city it was a little bit far out if you need to drop shopping off or get changed before going out for the area of vondelpark is beautiful in every way but more suitable for relaxing people rather than party people,VADER
14,1,0,263,this was the biggest mistake i have made on my trip to ireland please learn from my mistake this place must make money on the bar only it did not look like they put any money into the hotel itself the sour smell in the room was horrible the twin beds leaned to one side had to use a pillow to stop from rolling off the bed cramped small the bathroom was so small you had to turn sideways to get into the shower that did not have hot water the music and young kids started lining up at for a night of fun do worry but they were leaving but then again the staff would start putting the empty kegs on the street at sooo enjoy the hours of sleep food was not hot or tasty the dining room was a makeshift coat check at night made sure it still had a wonderful aroma in the morning for breakfast please note pay the extra few dollars and find a better only plus side walking distance to down town,VADER
15,1,0,268,i paid approx for a room for one night breakfast not included as my partner and i were down to dublin to watch coldplay i will admit it was close to croke park upon arrival the guy on reception assumed my partner and i would want single beds being guys when i corrected him and said the double was fine he smirked and went ahead with checking us in the hotel must of been grand and luxurious at one stage but it is dated and old now a bit of reinvestment by the owners would do wonders for the business the bedroom had old creaky furniture which was too big in a small room the bathroom was tiny but did have a nice selection of soaps and products a wet room would be much better here the room was spotless and there was a kettle and coffee but no tea also in the room is an iron plus board and a hairdryer there was no air conditioning unit and the room was roasting would have been ok with windows there but we could open them more than a crack although we were there on a saturday the area did have much happening and seems to be pretty quiet the hotel has a pool and leisure facility which we did have time to but you do need a code from reception to get into it a carvery was offered in the and upon inspection we decided it would be better to,VADER
16,1,0,274,dont stay in this hotel if you need an extra bed in your room my son could not sleep in his and we had to stay tried night but got sore back after having the metal springs in the matress hurt his spine and do not expect to get any help to get better bed either you will only hear lots of even i booked the extra bed week upfront they prefered to give the good extrabed to someone arriving same day who had not booked this in desk manager told me they were a big group arriving bit earlier than really dissapointing,VADER
17,0,1,317,the student hotel at amsterdam city was overall just what we needed at the end of our week backpacking trip we stayed nights there after traveling with backpacking backpacks hoping between hostels shared with people so we really appreciated the privacy cleanliness and an actual quiet and comfy bed however i do have two criticisms that i believe can be easily fixed firstly our room was never cleaned even though we put up the please clean our room sign not a big deal but just letting you know secondly when we rented bikes from the hotel and rode back after a really long day in the city we accidentally biked all the way to the student hotel amsterdam west when we tried to return the bikes we were sure why our bikes did match the bikes there i checked the room key and there was no indication as to which hotel we were staying at my boyfriend and i did not remember anything else besides the brand name of the hotel when i was about to check my email receipt my phone died but we began to figure that we might be at a different hotel we started to lock up our bikes to go ask reception for help when i saw that our bikes said amsterdam city and the other student hotel bikes said amsterdam west this was the only indication that there were two locations and that we were in the wrong place it turns out we were,VADER
18,1,0,323,i seldom post an unfavourable review preferring to deal directly with the restaurant or hotel reference saturday we had occasion to overnight in dublin checked my favourite websites and for last minute price and location hotel seemed to fit the bill central and at very cheap indeed for dublin in july arrival our reservation made and paid for a few hours earlier was confirmed but we were asked for euros cash as a deposit for any room damage well travelled at years of age we were astonished at this request indicating that we were reluctant to stay at an establishment where the guests obviously trashed or ransacked the were advised that it was unusual for the charge to be levied but it was the managers idea and the reception staff could not get the policy were however advised that had we used an alternative website to book there would have been no charge which mystified us were given vouchers for a free drink at the bar at at check inwhen we looked at them later they expired at the room was adequate but when i dropped an earring on the bathroom floor i gave up the search early on as the discovery of a less than clean floor left me feeling a little illthe final insult came at checkout when we were advised that there was a chargeof two euros per bag if we wishedtoleave our small overnight bag with them for a few hours we felt sorry for all,VADER
19,1,0,330,the night before we were supposed to go to a wedding a large party was happening on the ground floor we were on floor at midnight the music started it was so loud our room was vibrating we called down to reception times but nothing was done at we went down to reception and finally managed to get moved to a higher floor it did help much when checking out we requested a discount the reception staff were rude and point blank refused saying it was there fault they then threatened to call the police if we did pay i do understand why this hotel thought it would be a good idea to put families and people who had a wedding the next day right above a party that does end until from the other side of the hotel the party could be heard the refurbished rooms are grubby at best and most of the hotel has tired carpets plaster hanging off the walls and looks a bit old and well used only saving grace the pool was nice but the chairs are grubby,VADER
20,1,0,350,unless you in town for a quick overnight you should find another option rooms totally outdated no air conditioning bad wifi connection no channel options on tv no ventilation in bathrooms worse coupled with hot week and no air expensive breakfast that is much better than a free continental breakfast no fridge in rooms front desk staff is friendly but did not get the same impression from the staff in the dubliner restaurant attached large amount of inviting seating space in the great because it much cooler than the rooms when it hot excellent concierge staff who help with the usual tourist stuff info about airport trips and getting taxis excessive bar smoke in the evenings if you staying in rooms with windows open above the restaurant,VADER
21,1,0,364,we booked our stay with and somewhere the information got lost we booked standard room with breakfast i need my coffee in the morning but the lady in the reception was telling us no she looked down at us the breakfast is keep that in mind even if you book it may not register and off course that not her fault but there is no need to make costumers feel ridiculous really what is when you pay a night so it not about the price but the way they carrying themself the room is clean but definitely not the room was well made and good condition but if the staff can not understand basic communication with customers then you are in great loss,VADER
22,1,0,366,picked as a relatively inexpensive option for one night prior to flying out of dublin so just looking for a basic place to sleep in a convenient location expected it to be noisy given the busy street did meet these expectations however a fresh coat of paint everywhere and a new mattress and pillows with even a bit of fluff to them would greatly improve the quality of the stay mattress was so saggy and lumpy that we could only sleep on the edges of the bed and pillows might as well have been folded blankets stuck in pillow case triple glazing on windows would also help,VADER
23,1,0,375,this hotel is located well outside the city center of amsterdam so that was a big draw back additionally the staff was incredibly unhelpful we accidentally booked this location and contacted the hotel immediately after booking to indicate our booking was a mistake they refused to issue us a refund or even allow us to transfer to one of the other nh hotels closer to the city center we offered to pay the difference in cost we just really did want to stay out there once we arrived and got in to our room there were peanut shells all over the floor and dark hairs on the chair and floor so the room had been poorly cleaned again the hotel staff at this point refused to help us by issuing a refund or allowing us to switch locations pretty awful experience the only good thing was the bike rental which we could have done at almost any hotel in amsterdam,VADER
24,1,0,422,being someone who travels extensively for work i can say i experience my fair share of dump hotels this place however tops them by a good way it pure nasty so where do i begin i start with minor grievance of only towel in a bed room i had towels in a no star hotel in lobito the front desk staff are not up to their job and are clueless could not offer alternative room when i complained at the rooms allocated small shoebox rooms with old and substandard furniture our daughters bathroom is smaller than our downstairs guest washroom so it a little on the snug side our rooms do have a fantastic view that is if you are an avid trainspotters and want to experience the closeness and rattle of speeding locomotives at all hours ah this city center hotel this normal and what you get was the sympathetic front desk reply the all day restaurant is all day if you exclude a large proportion of the day the photos on the website and booking sites must have been extensively airbrushed or outright doctored as even with lights off and a skin full of guinness would i be would be hard pushed to say the room is the one shown online to top it all they claim to have been awarded the hotel of in what way was that even remotely possible the only way i can get my head around that if if the catagory was the,VADER
25,1,0,442,we stayed at the stanley for nights it made us hate athens to be honest the location of the hotel and the rooms are not as they seem on the website we stayed in the executive room with double bed the bathroom was disgusting with old white shower curtains and you could hear everything going on in the next room while you in the bathroom there no ventilation and it just feels like you in a cheap hotel i did like it at all to be honest and felt it was unclean upon booking i thought that the hotel was in the centre and it not it mins away by car from the main streets in the centre syntagma square and monastiraki and you ca walk there because the streets around the hotel do look in addition to all this we were charged for a bill after we had checked out from the hotel and left for drinks at the pool bar where neither myself or my husband even checked out during our stay let alone stayed for drinks and when we requested to see the receipt it just had our room number on the top without even our family name or my husbands signature we told the hotel that this was not us and that we did even visit the pool and until now one week later the money had not been refunded never visiting this hotel again and i advise anyone going on a fun romantic trip to,VADER
26,1,0,449,the floor boards in the room were broken there was a bit of a funny smell there was free wifi it is located by public transport so getting in to the main part of town is easy the breakfast was not like you would get in canada or the usa ie it not like a continental breakfast i stayed here as part of a tour if i go back to amsterdam i will not stay here,VADER
27,1,0,516,loved the vat pub traditional irish music after from somewhere pounding driving music from nearby venue kept us awake all night long front desk was interested the next day when i reported it it more like a hostel taxi driver had had an ominous smirk when he dropped us off now i know why,VADER
28,1,0,536,on arrival at the hotel we felt we were inappropriately greeted at the front desk with an unwelcoming attitude in comparison to other guests checking in parallel to us who were provided with maps and received a friendly welcome on the first evening what should have been a relaxing bar experience after our journey was another disappointment the bar man focused his attention solely on mature american guests and ignored us when it was quite clear that we had empty glasses on our table and required service there was certainly no excuse for this as the bar was not busy in addition our bar dining experience was yet another disappointment having ordered and received our steaks they were both not done as requested in fact they were medium rare no service check was provided to enable us to easily rectify the situation one would expect this to be a natural part of the food service in a hotel of this standard worse was to come we attempted to order desert only to be told that the kitchen was closed again guests would expect to be warned of the impending kitchen closure whilst finishing ones meal so that any final orders could be fulfilled staff attitude and communication left a lot to be desired in this instance after receiving a lack of information at check in we approached a member of staff in the coffee area to enquire about hotel facilities however before he could ask him a question he stated,VADER
29,1,0,542,my mother and i chose this hotel for the end of our athens trip due to the price the hotel itself was fine very courteous and helpful staff moderately comfortable mattresses clean room the room was very much no frills with tile floor throughout and a miniature bathroom this being said location of this hotel is in a very unsafe block of town it is fairly close to a main street but i would never walk down those streets in the night and was uncomfortable in the day the closest underground metro station omonia is the most dangerous in athens we did know this about the area talking to many locals in restaurants and uber drivers confirmed how unsafe this area is if this hotel were transplanted to a safer street it would be the perfect basic affordable hotel however based on the location we do not recommend,VADER
30,1,0,546,i was taking my daughter and two granddaughters on their first trip to europe cruise on mediterranean to italy decided to spend days in lovely barcelona first chose and reserved two rooms beds bathrooms and sea view a year in advance all confirmed and then reconfirmed upon arrival one room ready exactly what i wanted adjoining room was then given away while we waited for luggage offered apologies and then a suite suite had no sea view only beds only full bathroom i was supposed to sleep on a sofa bed and rollaway we let my granddaughters use the suite i went back to original room offered free cocktails with dinner and that was it by the way is near hospital so sirens all night service at meals was excellent but would never use hotel again,VADER
31,1,0,549,we stayed for a long weekend break our room was on the rooftop which was lovely bar the unclean jacuzzi which we could really use our main issue was that someone had been in our room on more than one occasion we had been out during the day our room had been cleaned with fresh bedding and toiletries lovely we then came back after being out for our tea and someone had been in our room and looked through our suitcases and bags this made us feel very unsafe and paranoid the second to last day when we came home after a day out touring the city the had taken one of our keys which we kept in the electricity port to keep the room cool with the air con our bags had been moved again when i asked reception why the key had gone she replied it happens sometimes i sure this should not happen at all i never been in a hotel where the cleaner or anyone else takes the key and you had your bags rummaged through we did eat in the hotel or use the bar the room was alright but we probably would stay again,VADER
32,1,0,564,staff very pleasant we had a triple room clean basic we where at a music festival with a group of girls some stayed on the first floor some on the second the girls on the first floor had no sleep as the music was thumping into their room throughout the night from the beer garden nightclub bar you are supplied with earplugs in the drawer they got some discount the next day after complaining we paid each for breakfast but it was not worth it fine for but i would recommend for a family,VADER
33,0,1,596,if i am back to barcelona i will visit this hotel again definitely i recommend this hotel if you are planning to visit barcelona but the noise of subway train was little bit annoying when i tried to sleep because i can feel and hear when the subway train comes near,VADER
34,1,0,597,the honest of the assistant service personal is questionable i lost an important mount of money of my room and they didnt anything to find it i make an pólice report in the pólice station and i waiting the results,VADER
35,1,0,624,the hotel has free wifi and is located in one of barcelonas most busy streets a short walk gets you to great restaurants as stores and that about it the room was really small having a suitcase got to be a problem we had to place some of our luggage in the bathroom the bathroom contained some hair from other guests and god knows what else the elevator did work the tv had three spanish channels and the breakfast cost extra perfect since the room did offer a simple do not disturb sign it was easy for the housekeeper to wake you up at to tidy your room next time no thanks hotellet er plassert sentralt i barcelonas mest travle gate gåavstand til butikker og gode restauranter gratis wifi der stopper det positive kun spanske kanaler på små rom uten plass til koffert eller sekk sekken måtte for øvrig plasseres på badet badet inkluderte hår fra tidligere gjester heisen var i ustand og alt dette til tross for en vanvittig høy pris for rommet i tillegg manglet enkle ting som et ikke forstyrr til døra pga dette kunne man raskt bli vekket kl noen skulle vaske rommet neste gang nei takk,VADER
36,1,0,630,my husband and i stayed here on sunday th june we arrived at pm to check in but our room was ready which was fair as we were mins early we took a seat like we were asked and tried again to check in at pm unfortunately our room was ready so we were told to leave our bags with concerige and try later we left the hotel to get some dinner and returned and tried again to check in at pm we were asked to present proof of our booking by the young man on the desk as they had no record and then we were told for the third time our room was ready we were annoyed at this stage and he offered to get the manager he returned after almost ten minutes to say room was ready no manager we received no apology no welcome to the hotel that seemed to be only for the guests who rooms were ready and no refreshments while we waited we like a lot of the guests checking in we in town for the phil collins concert and the room prices were increased to reflect this euro plus euro for parking gate for the concert opening at pm so not giving us adequate time to refresh before hand we were the only ones having trouble getting our rooms on time and the manager should have come out to apologise but he left the young man on the desk to deal with,VADER
37,0,1,640,a very good travelodge on the outer edges of the city but a good walk in and the busess stop right outside and are every few minutes so no problem with getting in and out no cafe onsite but a cafe a few doors down that does a really good breakfast and was reasonably priced,VADER
38,0,1,699,i stopped by here before my business meeting to find that the gresham has now been rebranded as hotel riu plaza the gresham it still as impressive as it was before and the selection of teas and coffees were second to none it a wonderful place any time of the day,VADER
39,1,0,702,easy access to all the sights and temple bar shopping cathedrals castle but clearly not worth the price felt like a very low rate motel when there are plenty of other options in the area that are much nicer,VADER
40,0,1,709,love staying here when i visit dublin great staff comfortable hotel rooms and great location i did notice that toiletries were very sparce this time shampoo and soap but call to reception if you need shower caps surely cut backs should result in lower prices not so i afraid breakfast has improved i think fresh bread and hot food even for latecomers what really disappointed me this time was the bar food we were in a hurry and just asked for sandwich and some chicken wings the sandwich was smothered with mustard and arrived in a box with no garnish whatsoever the chicken wings were inedible i afraid no taste at all so pale i wondered if they were cooked right through the batter they used had no seasoning and tasted of taste on chicken either blue cheese dip was not pleasant very expensive too not a very good impression for our tourists really ought to step up and offer a bit more great hotel otherwise,VADER
41,0,1,767,the hotel met our needs it located close to the dam square the red light district and the central breakfast was very reception staff was took a room in the fifth floor it was basic room and very small but it did bother us because we spent all our time outside but if you plan to stay more time in the hotel room you should ask for bigger room,VADER
42,1,0,799,motel one is far from the city centre and top attractions the central station is very far top attractions and canals will take you around minutes by the public transportation staff were rude no bath available just shower no iron or british electricity adaptors were given rooms were too small keep your passport and money in safe place as no deposit safe was there it is simply a motel not hotel i misunderstood the motel facilities due to reviewers comments and i made a wrong decision if i will be going to amsterdam again i will go for another option,VADER
43,1,0,814,the whole experience was disappointing we were made to wait for minutes before our room was ready and this is after the check in time of there was a line of people waiting and we had to queue three times before our room was finally ready we entered a warm stuffy room where the air conditioning has not been switched on it is definitely not what i had expected based on the review i will definitely not be coming back be ready to be disappointed,VADER
44,1,0,823,noise from other room is so big that i could sleep well every some water that where it came from are all around my shoes so my new shoes from barcelona became wet two things above was bad but other things about the hotel was good,VADER
45,1,0,827,i can under stand when hotels get busy that you need to wait but when people who are booked in advance at least groups by my count are told to wait some over an hour while off the street are checked in well that is clearly all their rooms became available at once so clearly there is no coordination between and front desk they could have avoided the problem by having housekeeping release the rooms for check in one by their systems are more important than the a pleasant stay,VADER
46,0,1,836,i booked this hotel mostly based on price and location we were in dublin for the concert and visiting the city for the first time so i wanted something affordable yet centrally located so we could get where we needed to go without spending too much on taxis the hotel was great there are four of us two tall teen boys in tow and i wanted to be sure we were stacked on top of each other i read reviews of the family room in this hotel and hoped it would live up to our expectations it did and then some upon arrival we were told it would be another hour before a room was ready fine since it was well before scheduled check in i pause the review here and note to first time overseas travelers from the us that flights arrive in the morning but the hotels are always able to accommodate you until their scheduled checkin no matter how high priority you have in a rewards program getting angry at the hotel staff for this does no good and just adds to the reputation americans have of being arrogant travelers we saw this again upon arrival at this hotel americans angry that no room is available at am checkin is clearly noted as pm if your flight arrives at am and you want to be in your hotel at am you need to book it for the night prior if you can not do that then do,VADER
47,0,1,849,hubby and l stayed here nights location is superb staff were friendly and quite helpful dealing with our missed baggage breakfast is on the rooftop with views of the acropolis decent selection of food choices cereals cold cuts fruit yoghurt eggs bacon and potatoes and sweet pastry good enough for us had the rooms been modernised we would have rated it higher but l know other cruise travellers stayed at much higher rated hotels and were not in such a great location and felt less inclined to wander out at night we hsd no problem with that being so central a short walk to hop bus shopping cafes and restaurants the plaka district etc,VADER
48,1,0,861,for being a hilton hotel you expect high and good service when the prices are that high forgot our orderlazy in the barservice remote did worktook the freedom of giving us the most expensive alcohol in the drinks without askinggave us the wrong billthe staff were friendly but should maybe have a lesion in hotel service not worth the visit,VADER
49,0,1,868,it is close to the see and offices in that area however far from city center i could not set properly the room air condition it was too coold or warm i didn ot find description about room thermostat settings the area is quiet but i do not recommend to get room on the street side on to floors too much traffic noise,VADER
50,1,0,874,i bought this trip through travel republic as a surprise for my husbands birthday i emailed ahead and asked for a nice room with a view as it was a surprise i had booked transfers arrived and there was no one waiting for us we waited for half an hour but nothing we walked minutes through the terminals and we came across the transfer office they did not apologise just made a phone call and said minutes minutes later still nothing so i went back to the desk and they made another call and said minutes we were completely fed up by this arrived at the hotel and the lady on reception told us to check in at and took our bags and gave some information about catching buses etc she was the only helpful person i came across we collected our luggage and went to the room yes we had a sea view and the window opened wide which was nice and that is the only good thing i can say about this hotel the room is in dire need of updating walls are badly marked and when u pull back the curtain there was mould the bed was hard and the only plug socket you could use was if you unplugged the lamp or fridge trying to get ready was a big issue as a woman the hairdryer was in the bathroom but getting ready in there was impossible no air con in bathroom gets too hot to,VADER
51,0,1,875,the hotel was reasonable the rooms on higher floors have a nice view on the sea the rooms were shabby but properly cleaned the breakfast was not wow a small hotel located at walking distance from glyfada center,VADER
52,1,0,902,the temperature outside is and there is a tiny window in a room for four if one person takes a shower the room is too warm if two take a shower it a sauna for the rest of the night i have encounter the little window phenomenon throughout ireland but his huge monster of a hotel is hot throughout sleeping happens after he room has cooled down around stick to airbnb most homes and flats have actual portals to the outside air,VADER
53,1,0,947,this would have been good for a hotel but not for hilton top of the line we stayed for three nights and the experience was a let down two nights there was no turn down or attention to the room the concierge service ranged from outstanding to i ca be bothered but the front desk was outstanding two out of three breakfasts were terrible the buffet items were outstanding but after seating and the initial coffee the wait staff had to be called they never would come back to check to see if we needed anything that was not on the buffet i felt they may have been shunning staff at lemuel bar and lounge generally did a good job,VADER
54,0,1,977,the hotel was nice and modern the restaurant was also very good the public transportation is right outside the hotel which is convenient but i did realize it was really downtown we walked downtown and it was a minute walk the round trip public transportation price is about per person or all day the staff gave us bad information about the taxi to the airport though said they take credit cards they did not and said it would be to depending on traffic but it cost we had to run inside and pay the fee at the atm to pay the taxi driver this was a taxi that they booked for us,VADER
55,0,1,1004,this hotel is warming there is a bus stop outside takes you to the city rooms are very stylish and comfy beds very are so attentive and is round defo star,VADER
56,1,0,1016,stay of nights there as hhonors diamond you should be treated fairly unfortunately not at all no welcome for breakfast the hotel do a segregation of hhonors member on the underground with a limited food and untasteful moreover the staff is far to be professional and spend more time to chat and joke than take care of customer this hotel is not at all as hilton level and should be removed from hilton group,VADER
57,1,0,1029,good location with easy access to metro all staff were very friendly and helpful from start to there was only flat pillow per bed we stayed four nights and old towels and rubbish was taken out or toilet roll renewed for the whole time we stayed i had to go downstairs to reception twice to ask the receptionist to get us towels and toilet very basic things in my seemed annoyed when i went down the first day that it had been done by accommodation staff yet it happened again the following day again nice clean basic rooms great power in the work nearby acted as alarm clocks at most mornings and people coming in an out of other rooms on the corridor could be heard,VADER
58,0,1,1030,strategic place to stay the hotel is in amsterdam city near to station shopping center clubbing etc just walk a step you find everything you need the services is excellence but unfortunately there is no lobby are for parking a car,VADER
59,1,0,1046,very tired looking hotel which desperately needs some love first room offered was in the basement and was really noisy moved to the top and was still really noisey due to the seedy all night clubs over the road room walls were heavily stained and the room had an unpleasant musty odour like most hotels in dublin it is overpriced but if you going to pay over the odds you may as well pay a tenner more and go somewhere nice,VADER
60,1,0,1105,very expensive for such an old fashioned place after paying as much money as we did you would expect a little more comfort quite disapointed on the plus side the staff were as accomodating as they could been,VADER
61,1,0,1111,the beds were decent the bathroom was worn with rust and discolored tile grout but it was all functional and very important for us well working ac the wifi however was painfully slow a limit of only devices was certainly an issue for us as we had to take turns getting on it,VADER
62,1,0,1125,it a below average dingy hotel with better alternatives for the same rates at nearby locations it very outdated hotel with outdated furniture that have stood the test time but their time has come reception staff were just fine but nothing to write home about location was good but i had stayed in a nearby hotel slightly better location for the same price but that was very modern and fully refurbished i think it was called definitely would stay here nor recommend i would highly advise a full refurbishment to the furniture and dirty carpets,VADER
63,1,0,1142,this was a short break for myself and daughter booked through secret escapes the hotel was very central just a five minute walk from last rambla the receptionist was very friendly and informative our room was small but clean we followed instructions for the safety deposit box but could get it to work we see told it would be done the next day not ideal to carry your valuables around the city complimentary wine and glasses after use were left in the room for our entire stay despite housekeeping every day the lights in the bedroom stopped working after the first day we were advised to play around with them until they worked did then the bathroom ceiling leaked water from the upstairs room breakfast was varied and acceptable but food remnants remained under the tables after tables were wiped on our checkout surprisingly we were asked if we enjoyed our stay,VADER
64,1,0,1146,not normally something i do as i believe that people have off days but i just had to comment on my recent stay at w hotels as i found the following to be causes of checked into the hotel from another hotel in the city as we changed our flights and wanted something a bit more in keeping with what we re used to and decided to book at the hotel at and went directly to the floor for check in we were advised that the room would be ready shortly and that they could take our bags and would be returned to us upon to the room and that they would contact us directly by text to advise the room s availability it came to and we had still not been contacts so we went through to reception where they d my payment card even though i had already provided full for recommendations of lunch and was given a suggestion of the focaccia dip and the spicy tomatoes the tomatoes were lovely but the focaccia was burnt and then asked about the spa facilities in the hotel and were advised that they were indeed closed for the day due to unforeseen being a guest at hotel de lerope in amsterdam i decided to visit w as it was a more modern hotel and thought that it would have a younger and more feel to it but this did not live up to the calling reception times over the period,VADER
